university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
"Nanyang Technological University, Singapore (NTU)",2017,13,91.4,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg,Public,Very High,6,6091.00,L,3812.00
EPFL,2017,14,91.1,https://www.topuniversities.com/universities/epfl,Switzerland,Lausanne,Europe,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg,Public,Very High,6,6426.00,M,1767.00
Yale University,2017,15,90.9,https://www.topuniversities.com/universities/yale-university,United States of America,New Haven,North America,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,Private,Very High,2,2537.00,M,5391.00
Cornell University,2017,16,90.1,https://www.topuniversities.com/universities/cornell-university,United States of America,Ithaca,North America,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg,Private,Very High,8,5675.00,L,2843.00
Johns Hopkins University,2017,17,89.3,https://www.topuniversities.com/universities/johns-hopkins-university,United States of America,Baltimore,North America,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg,Private,Very High,3,5070.00,L,4855.00
University of Pennsylvania,2017,18,89,https://www.topuniversities.com/universities/university-pennsylvania,United States of America,Philadelphia,North America,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,Private,Very High,4,4636.00,L,5154.00
The University of Edinburgh,2017,19,88.9,https://www.topuniversities.com/universities/university-edinburgh,United Kingdom,Edinburgh,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,Public,Very High,7,14637.00,XL,4832.00
Columbia University,2017,20,88.6,https://www.topuniversities.com/universities/columbia-university,United States of America,New York City,North America,https://www.topuniversities.com/sites/default/files/columbia-university_138_small.jpg,Private,Very High,4,11252.00,L,7087.00
King's College London,2017,21,87.7,https://www.topuniversities.com/universities/kings-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/kings-college-london_357_small.jpg,Public,Very High,7,15075.00,L,4216.00
The Australian National University,2017,22,87.3,https://www.topuniversities.com/universities/australian-national-university,Australia,Canberra,Oceania,https://www.topuniversities.com/sites/default/files/the-australian-national-university_40_small.jpg,Public,Very High,9,6496.00,L,1763.00
University of Michigan-Ann Arbor,2017,23,86.4,https://www.topuniversities.com/universities/university-michigan-ann-arbor,United States of America,Ann Arbor,North America,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small.jpg,Public,Very High,6,7341.00,XL,7132.00
Tsinghua University,2017,24,86,https://www.topuniversities.com/universities/tsinghua-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg,Public,Very High,6,5420.00,XL,6174.00
Duke University,2017,24,86,https://www.topuniversities.com/universities/duke-university,United States of America,Durham,North America,https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg,Private,Very High,3,3445.00,L,5673.00
Northwestern University,2017,26,85.7,https://www.topuniversities.com/universities/northwestern-university,United States of America,Evanston,North America,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg,Private,Very High,5,3846.00,L,3652.00
The University of Hong Kong,2017,27,85.4,https://www.topuniversities.com/universities/university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg,Public,Very High,7,8311.00,L,2944.00
"University of California, Berkeley (UCB)",2017,28,85.2,https://www.topuniversities.com/universities/university-california-berkeley-ucb,United States of America,Berkeley,North America,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,Public,Very High,11,9428.00,XL,3701.00
The University of Manchester,2017,29,84.8,https://www.topuniversities.com/universities/university-manchester,United Kingdom,Manchester,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg,Public,Very High,8,16079.00,XL,4889.00
McGill University,2017,30,84.1,https://www.topuniversities.com/universities/mcgill-university,Canada,Montreal,North America,https://www.topuniversities.com/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg,Public,Very High,7,10827.00,L,3876.00
"University of California, Los Angeles (UCLA)",2017,31,84,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,United States of America,Los Angeles,North America,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg,Public,Very High,10,6140.00,XL,4487.00
University of Toronto,2017,32,83.8,https://www.topuniversities.com/universities/university-toronto,Canada,Toronto,North America,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg,Public,Very high,8,27536.00,XL,9881.00
"Ecole normale sup̩rieure, Paris",2017,33,79.9,https://www.topuniversities.com/universities/ecole-normale-superieure-paris,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/ecole-normale-suprieure-paris_176_small.jpg,Public,Very High,11,374.00,S,178.00
The University of Tokyo,2017,34,82.6,https://www.topuniversities.com/universities/university-tokyo,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg,Public,Very High,6,3983.00,L,4473.00
Seoul National University,2017,35,82.1,https://www.topuniversities.com/universities/seoul-national-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg,Public,Very High,7,1914.00,L,3859.00
The Hong Kong University of Science and Technology,2017,36,81.8,https://www.topuniversities.com/universities/hong-kong-university-science-technology,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg,Public,Very High,8,3033.00,M,697.00
Kyoto University,2017,37,81.7,https://www.topuniversities.com/universities/kyoto-university,Japan,Kyoto,Asia,https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg,Public,Very High,6,2863.00,L,3911.00
The London School of Economics and Political Science (LSE),2017,37,81.7,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg,Public,Very High,10,8274.00,M,1172.00
Peking University,2017,39,81.3,https://www.topuniversities.com/universities/peking-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg,Public,Very High,6,5436.00,XL,5302.00
"University of California, San Diego (UCSD)",2017,40,80.6,https://www.topuniversities.com/universities/university-california-san-diego-ucsd,United States of America,San Diego,North America,https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg,Public,Very High,8,8567.00,XL,4545.00
University of Bristol,2017,41,79.6,https://www.topuniversities.com/universities/university-bristol,United Kingdom,Bristol,Europe,https://www.topuniversities.com/sites/default/files/university-of-bristol_69_small.jpg,Public,Very High,8,7483.00,L,20311.00
The University of Melbourne,2017,42,79.5,https://www.topuniversities.com/universities/university-melbourne,Australia,Parkville,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-melbourne_399_small.jpg,Public,Very high,19,21406.00,S,4835.00
